Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Belize,,1.578255151,1.578255151,1.622095572,1.622095572,1.622095572,1.665935993,1.665935993,1.665935993,1.709776414,1.709776414,1.753616835,1.753616835,1.797457256,1.797457256,1.841297676,1.841297676,1.885138097,1.885138097,1.885138097,1.972818939,2.01665936,2.01665936,2.01665936,2.01665936,1.885138097,1.928978518,2.148180623,2.192021043,2.279701885,2.279701885,2.367382727,2.455063569,2.630425252,2.630425252,2.718106094,2.761946515,2.805786936,2.805786936,2.805786936,2.805786936,2.849627356,3.068829461,3.068829461,3.068829461,3.068829461,3.068829461,3.068829461,3.068829461,3.200350723,3.288031565,3.288031565,3.419552828,3.419552828,3.419552828,,,2.347898095
Benin,,8.158921603,8.336289464,8.513657325,8.691025186,8.868393047,9.134444839,9.48918056,9.755232352,10.4647038,10.64207166,11.08549131,11.3515431,11.52891096,11.79496275,12.14969847,12.41575027,12.68180206,12.85916992,13.03653778,13.30258957,13.56864136,13.74600922,13.83469315,13.92337708,14.01206101,14.10074495,14.18942888,14.27811281,14.36679674,14.32245477,14.36679674,14.45548067,14.63284853,15.07626818,15.87442355,17.29336644,18.6236254,19.95388436,20.39730401,21.10677545,21.72756297,22.61440227,23.50124158,24.38808088,23.94466123,22.17098262,22.17098262,23.05782192,21.72756297,22.52571834,22.88045406,23.94466123,23.94466123,23.94466123,,,15.72086897
Bermuda,,8,6,6,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,,,6.666666667
Bhutan,,2.140273527,2.140273527,2.140273527,2.140273527,2.140273527,2.140273527,2.140273527,2.140273527,2.140273527,2.35430088,2.35430088,2.35430088,2.35430088,2.461314556,2.461314556,2.568328232,2.568328232,2.568328232,2.675341909,2.782355585,2.782355585,2.889369261,3.103396614,3.103396614,3.103396614,3.103396614,3.124799349,3.017785673,2.846563791,2.889369261,2.889369261,2.889369261,2.910771997,3.51758794,3.668341709,3.793969849,3.844221106,3.844221106,3.844221106,2.663316583,2.788944724,2.788944724,2.788944724,4.145132093,4.381247213,3.969357505,3.575832306,2.623501325,2.623501325,2.639242333,2.628748328,2.628748328,2.628748328,2.628748328,,,2.84136736
Bolivia,,1.194498292,1.196344503,1.203729346,1.237884243,1.269269824,1.305270931,1.336656513,1.373580726,1.409581833,1.44373673,1.468660574,1.508354103,1.548970738,1.579433213,1.617280532,1.668051325,1.703129327,1.732668697,1.763131173,1.793593649,1.827748546,1.862826549,1.893289024,1.932059448,1.892365919,1.901596972,1.910828025,1.920059079,1.929290132,1.938521185,1.947752239,1.984676452,2.030831718,2.169297517,2.400073848,2.483153328,2.651158497,2.74531524,2.833933352,2.902243146,2.907781778,3.046247577,3.243792117,3.303793963,3.513338872,3.604726299,3.850272316,3.937967322,4.111511123,3.966583587,4.004430906,4.03120096,4.057971014,4.128588572,,,2.300352831
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6015625,16.6015625,16.6015625,16.6015625,17.578125,17.578125,18.5546875,18.5546875,19.53125,19.7265625,19.47265625,19.86328125,20.078125,20.01953125,20.05859375,19.9609375,19.6875,19.47265625,19.609375,19.62890625,19.58984375,19.7265625,19.74609375,,,18.90625
Botswana,,0.70403896,0.70403896,0.70403896,0.70403896,0.705803469,0.705803469,0.705803469,0.705803469,0.705803469,0.705803469,0.705803469,0.707567978,0.707567978,0.707567978,0.707567978,0.707567978,0.707567978,0.707567978,0.711096995,0.711096995,0.711096995,0.714626012,0.714626012,0.714626012,0.71815503,0.71815503,0.721684047,0.721684047,0.73050659,0.741093642,0.529352602,0.441127168,0.617578035,0.696980926,0.608755492,0.608755492,0.529352602,0.405836995,0.423482081,0.617578035,0.352901735,0.432304625,0.344079191,0.39877896,0.423482081,0.354666243,0.321140578,0.49229792,0.557584741,0.457007746,0.57170081,0.502884972,0.488768902,0.70403896,,,0.615160005
Brazil,,2.646282546,2.871452261,3.110739949,3.230383794,3.350027638,3.469671482,3.589315326,3.828603015,3.948246859,4.187534547,4.426822236,4.54646608,4.666109924,4.905397612,5.025041457,5.144685301,5.264329145,5.264329145,5.372008605,5.383972989,5.455759296,5.623260678,5.623260678,5.635225062,5.659153831,5.862548366,5.922370288,5.958263441,5.970227826,6.063669668,6.221240611,6.197910061,6.253065874,6.310614563,6.946401951,6.922353538,6.913978469,6.905507685,6.909049143,6.9125906,7.067481521,7.358574994,7.733060226,8.174904943,8.274209334,8.319793638,8.182203217,8.404980055,8.427712386,8.41849981,8.647019552,8.686980596,9.093901275,9.573541482,,,6.015939529
British Virgin Islands,,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,20,20,20,20,20,20,20,20,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,,,11.72839506
Brunei Darussalam,,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,1.138519924,1.138519924,1.138519924,1.138519924,1.138519924,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,0.759013283,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.569259962,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.569259962,0.569259962,0.759013283,0.759013283,0.759013283,0.759013283,0.948766603,0.948766603,,,0.63953897
