Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6949.833984,,,,,,,,,,6949.833984,,,,,,,,,,6949.833984,,,,,,,6949.833984
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33044.11719,,,,,,,,,,33044.11719,,,,,,,,,,33044.11719,,,,,,,33044.11719
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21411.55273,,,,,,,,,,21411.55273,,,,,,,,,,21411.55273,,,,,,,21411.55273
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.7093811,,,,,,,,,,503.7093811,,,,,,,,,,503.7093811,,,,,,,503.7093811
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42784.17969,,,,,,,,,,42784.17969,,,,,,,,,,42784.17969,,,,,,,42784.17969
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27317793.27,,,,,,,,,,27317793.27,,,,,,,,,,27317793.27,,,,,,,27317793.27
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22098309.76,,,,,,,,,,22098309.76,,,,,,,,,,22098309.76,,,,,,,22098309.76
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13813910.57,,,,,,,,,,13813910.57,,,,,,,,,,13813910.57,,,,,,,13813910.57
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13694589.53,,,,,,,,,,13694589.53,,,,,,,,,,13694589.53,,,,,,,13694589.53
