Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.161865,,,,,,,,,,1087.161865,,,,,,,,,,1087.161865,,,,,,,1087.161865
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051.562988,,,,,,,,,,4051.562988,,,,,,,,,,4051.562988,,,,,,,4051.562988
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3466.161621,,,,,,,,,,3466.161621,,,,,,,,,,3466.161621,,,,,,,3466.161621
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5302.795898,,,,,,,,,,5302.795898,,,,,,,,,,5302.795898,,,,,,,5302.795898
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9572.447266,,,,,,,,,,9572.447266,,,,,,,,,,9572.447266,,,,,,,9572.447266
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280.400391,,,,,,,,,,2280.400391,,,,,,,,,,2280.400391,,,,,,,2280.400391
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9295.174805,,,,,,,,,,9295.174805,,,,,,,,,,9295.174805,,,,,,,9295.174805
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.8288422,,,,,,,,,,149.8288422,,,,,,,,,,149.8288422,,,,,,,149.8288422
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.302948,,,,,,,,,,251.302948,,,,,,,,,,251.302948,,,,,,,251.302948
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5089.375977,,,,,,,,,,5089.375977,,,,,,,,,,5089.375977,,,,,,,5089.375977
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895934.1262,,,,,,,,,,895934.1262,,,,,,,,,,895934.1262,,,,,,,895934.1262
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701588.055,,,,,,,,,,701588.055,,,,,,,,,,701588.055,,,,,,,701588.055
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509762.1198,,,,,,,,,,509762.1198,,,,,,,,,,509762.1198,,,,,,,509762.1198
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507314.3261,,,,,,,,,,507314.3261,,,,,,,,,,507314.3261,,,,,,,507314.3261
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10905.65137,,,,,,,,,,10905.65137,,,,,,,,,,10905.65137,,,,,,,10905.65137
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24270.23242,,,,,,,,,,24270.23242,,,,,,,,,,24270.23242,,,,,,,24270.23242
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3598.269287,,,,,,,,,,3598.269287,,,,,,,,,,3598.269287,,,,,,,3598.269287
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.47089386,,,,,,,,,,97.47089386,,,,,,,,,,97.47089386,,,,,,,97.47089386
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.6149292,,,,,,,,,,366.6149292,,,,,,,,,,366.6149292,,,,,,,366.6149292
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614.681396,,,,,,,,,,2614.681396,,,,,,,,,,2614.681396,,,,,,,2614.681396
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5166.71582,,,,,,,,,,5166.71582,,,,,,,,,,5166.71582,,,,,,,5166.71582
