Country Name,10 year GDP Average,Average % of Forest Cover (10 yrs),continent
Russian Federation,1.57E+12,49.6627822,Europe
Rwanda,5675262436,17.78015256,Africa
Samoa,666013067.8,60.42402827,Oceania
San Marino,1607966017,0,Europe
Sao Tome and Principe,221328924.5,56.51515152,Africa
Saudi Arabia,5.59E+11,0.454484135,Asia
Senegal,12787206693,44.00872591,Africa
Serbia,40235084155,30.30268382,Europe
Seychelles,1111365946,88.41304348,Africa
Sierra Leone,3107109940,39.33852238,Africa
Singapore,2.31E+11,23.31358535,Asia
Sint Maarten (Dutch part),#DIV/0!,#DIV/0!,North America
Slovak Republic,88769711241,40.2841566,Europe
Slovenia,46858166885,61.87595919,Europe
Solomon Islands,774670959.9,79.06395141,Oceania
Somalia,5641333333,10.75493353,Africa
South Africa,3.30E+11,7.617736524,Africa
South Sudan,13407414253,#DIV/0!,Africa
Spain,1.38E+12,36.09077889,Europe
Sri Lanka,54084410545,33.45703889,Asia
St. Kitts and Nevis,729138703.7,42.30769231,North America
St. Lucia,1226968219,33.7704918,North America
St. Martin (French part),#DIV/0!,18.38235294,North America
St. Vincent and the Grenadines,677024868.7,68.53146853,North America
Sudan,60762123864,10.09504668,Africa
Suriname,4002482195,98.40559441,South America
Swaziland,4003830338,32.74841438,Africa
Sweden,4.99E+11,68.694515,Europe
Switzerland,5.82E+11,31.25985221,Europe
Syrian Arab Republic,34198938700,2.629334891,Asia
Tajikistan,5854296911,2.937830865,Asia
Tanzania,32319777496,54.14109485,Africa
Thailand,3.25E+11,31.80581481,Asia
Timor-Leste,960974418.2,49.89912576,Asia
Togo,3328649332,5.276705277,Africa
Tonga,374269713.7,12.5,Oceania
Trinidad and Tobago,22954150022,44.75349991,North America
Tunisia,42331876500,6.330165715,Africa
Turkey,6.95E+11,14.54606877,Asia
Turkmenistan,25098048124,8.782159045,Asia
Turks and Caicos Islands,#DIV/0!,36.21052632,North America
Tuvalu,31675476.67,33.33333333,Oceania
Uganda,18917728259,13.75474605,Africa
Ukraine,1.38E+11,16.54528848,Europe
United Arab Emirates,3.09E+11,3.795454545,Asia
United Kingdom,2.71E+12,12.69713629,Europe
United States,1.54E+13,33.65782897,North America
Uruguay,39100202905,9.742730701,South America
Uzbekistan,40120461692,7.676667949,Asia
Vanuatu,655693068.7,36.09515997,Oceania
"Venezuela, RB",2.96E+11,53.66764407,South America
Vietnam,1.24E+11,45.20680081,Asia
Virgin Islands (U.S.),4184090909,51.89350649,North America
West Bank and Gaza,8882795067,1.523255814,Europe
"Yemen, Rep.",29995034542,1.039831809,Asia
Zambia,19451310468,66.54380608,Africa
Zimbabwe,9449206445,40.43921182,Africa
